 ,Area,Angle,MinThr,MaxThr,Length
1,3.625,112.036,0,255,17.989
2,0.867,121.430,0,255,4.188
3,0.512,138.366,0,255,2.390
4,1.379,-37.875,0,255,6.790
5,0.631,-61.699,0,255,2.931
6,0.709,-59.036,0,255,3.473
7,1.655,-53.973,0,255,8.100
8,3.113,-45.516,0,255,15.582
9,3.113,40.840,0,255,15.481
10,0.631,-58.392,0,255,3.030
11,0.670,39.806,0,255,3.101
12,1.103,-51.009,0,255,5.363
13,1.025,36.870,0,255,4.963
14,1.340,-52.431,0,255,6.512
15,1.300,38.660,0,255,6.355
16,0.906,-46.848,0,255,4.354
17,0.867,46.975,0,255,4.073
18,1.379,-47.386,0,255,6.744
19,1.379,42.614,0,255,6.744
20,0.709,-45.000,0,255,3.369
21,1.655,-43.025,0,255,8.146
22,1.222,-45.000,0,255,5.895
23,1.222,-57.381,0,255,5.892
24,1.300,32.196,0,255,6.334
25,0.828,-36.870,0,255,3.970
26,0.867,46.975,0,255,4.073
27,0.867,46.975,0,255,4.073
28,0.788,108.435,0,255,3.766
29,0.906,-32.276,0,255,4.461
30,2.010,-90.000,0,255,9.926
31,1.970,-177.663,0,255,9.735
32,1.379,-5.042,0,255,6.776
33,1.182,-95.906,0,255,5.788
34,2.286,-46.432,0,255,11.233
35,2.089,41.906,0,255,10.402
36,0.946,-59.036,0,255,4.630
37,0.552,-71.565,0,255,2.511
38,1.458,39.401,0,255,7.193
39,0.749,-47.291,0,255,3.512
40,0.906,46.848,0,255,4.354
41,2.601,-50.648,0,255,12.836
42,2.601,38.797,0,255,12.990
43,0.433,-60.945,0,255,2.044
44,0.473,-52.125,0,255,2.263
45,1.143,-59.744,0,255,5.516
46,0.709,-45.000,0,255,3.369
47,0.906,-56.310,0,255,4.294
48,1.025,-48.180,0,255,5.061
49,1.143,52.306,0,255,5.519
50,1.537,-42.879,0,255,7.585
51,1.458,41.634,0,255,7.171
52,1.300,-60.255,0,255,6.402
53,1.497,34.992,0,255,7.269
54,1.261,-67.521,0,255,6.230
55,1.261,31.608,0,255,6.060
56,0.867,-43.025,0,255,4.073
57,0.788,38.660,0,255,3.813
58,0.591,-33.690,0,255,2.863
59,2.286,-55.751,0,255,11.287
60,2.207,27.951,0,255,11.012
61,0.749,-56.310,0,255,3.579
62,0.670,34.695,0,255,3.139
63,2.207,-50.194,0,255,10.853
64,2.483,40.400,0,255,12.252
65,1.182,-43.603,0,255,5.757
66,2.207,41.285,0,255,10.831
67,2.089,-48.918,0,255,10.271
68,1.458,-56.310,0,255,7.157
69,1.340,43.781,0,255,6.599
70,1.931,-55.981,0,255,9.580
71,1.892,43.264,0,255,9.269
72,1.025,-53.130,0,255,4.963
73,1.143,-55.176,0,255,5.562
74,0.709,-76.759,0,255,3.467
75,0.749,-49.399,0,255,3.660
76,0.946,23.199,0,255,4.535
77,1.222,-57.381,0,255,5.892
78,2.758,-56.768,0,255,13.765
79,2.758,33.690,0,255,13.599
80,1.261,-58.392,0,255,6.060
81,1.222,25.710,0,255,5.949
82,0.828,-40.914,0,255,3.940
83,0.709,40.236,0,255,3.381
84,0.473,-63.435,0,255,2.219
85,0.552,28.610,0,255,2.487
86,0.631,-53.130,0,255,2.978
87,0.473,-48.814,0,255,2.110
88,0.355,-82.875,0,255,1.600
89,0.276,80.538,0,255,1.207
90,0.512,0.000,0,255,2.382
91,0.946,-2.490,0,255,4.570
92,0.906,-90.000,0,255,4.367
93,0.355,-75.964,0,255,1.637
94,2.601,12.529,0,255,12.811
95,1.813,16.821,0,255,8.918
96,0.788,-71.565,0,255,3.766
97,0.197,-63.435,0,255,0.888
98,0.394,-35.538,0,255,1.708
