 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,3,2.828,634,7,135.000,2.000
2,223,20.616,957,17,157.166,15.205
3,3,2.828,1024,20,45.000,2.000
4,8,5.000,1061,26,53.130,2.828
5,16,5.385,257,23,111.801,4.919
6,22,7.616,1051,32,113.199,4.000
7,14,5.385,192,37,111.801,4.000
8,4,2.828,1088,42,135.000,2.000
9,92,14.866,175,48,160.346,9.000
10,1,1.414,266,49,135.000,1.000
11,4,3.606,42,50,146.310,2.000
12,284,22.136,670,66,161.565,17.000
13,4,3.162,66,70,108.435,2.000
14,11,5.000,572,73,143.130,3.000
15,28,8.062,1073,81,29.745,5.814
16,9,4.472,1037,77,153.435,4.000
17,20,6.708,1217,81,153.435,4.919
18,2,2.236,1049,91,153.435,1.000
19,10,4.472,1230,91,116.565,3.000
20,4,2.828,49,97,135.000,2.000
21,10,5.000,908,102,53.130,3.000
22,3,2.828,1069,98,135.000,2.000
23,14,5.385,297,100,111.801,4.243
24,36,8.062,504,100,119.745,6.708
25,3,2.828,840,102,45.000,2.000
26,24,6.708,899,105,153.435,5.000
27,3,2.828,1057,105,135.000,2.000
28,35,8.544,291,113,159.444,5.000
29,2,2.236,30,113,153.435,1.000
30,122,14.422,5,126,146.310,11.314
31,1,1.414,898,133,135.000,1.000
32,18,5.831,1131,134,149.036,4.000
33,2,2.236,960,136,153.435,1.000
34,6,3.606,481,138,146.310,2.000
35,1,1.414,1226,139,135.000,1.000
36,20,7.211,614,145,33.690,4.427
37,4,2.828,776,142,135.000,2.000
38,4,3.162,466,144,161.565,2.000
39,96,13.601,1022,147,162.897,9.000
40,270,21.840,1033,159,15.945,18.600
41,4,2.828,1237,145,135.000,2.000
42,3,2.828,217,156,45.000,2.000
43,1,1.414,12,156,135.000,1.000
44,251,22.472,225,162,159.146,15.556
45,18,6.325,1132,162,108.435,4.000
46,51,10.000,843,172,36.870,8.000
47,44,9.849,1207,167,113.962,6.000
48,8,5.000,224,172,143.130,2.828
49,2,2.236,659,186,153.435,1.000
50,13,5.657,249,193,135.000,4.000
51,195,19.416,277,218,11.889,14.000
52,16,5.831,367,215,30.964,4.000
53,1,1.414,82,216,135.000,1.000
54,4,3.162,749,216,108.435,2.000
55,28,8.246,148,221,165.964,5.000
56,100,13.601,326,229,143.973,10.607
57,15,6.325,510,228,161.565,3.000
58,1,1.414,683,229,135.000,1.000
59,9,4.472,1123,229,153.435,3.000
60,38,8.602,275,233,144.462,6.000
61,1,1.414,20,238,135.000,1.000
62,4,2.828,35,244,135.000,2.000
63,20,7.616,127,245,156.801,4.000
64,96,13.416,913,248,153.435,10.000
65,32,8.602,1142,249,144.462,5.814
66,2,2.236,1102,250,153.435,1.000
67,10,4.472,1162,250,116.565,3.000
68,132,15.524,500,255,165.069,12.000
69,11,4.472,905,253,116.565,4.000
70,4,2.828,1153,253,135.000,2.000
71,14,5.831,950,255,149.036,4.000
72,7,4.243,1148,259,45.000,2.828
73,13,5.385,8,259,158.199,3.000
74,6,3.606,290,258,123.690,2.828
75,325,23.022,978,266,145.620,19.718
76,7,4.243,603,269,135.000,2.828
77,1,1.414,955,272,135.000,1.000
78,60,10.817,931,278,146.310,8.000
79,15,5.831,943,287,59.036,4.000
80,54,10.817,950,283,146.310,8.000
81,21,6.708,595,285,153.435,4.000
82,1,1.414,668,290,135.000,1.000
83,428,28.636,790,313,12.095,20.000
84,153,15.652,839,313,153.435,13.000
85,9,4.472,1203,310,153.435,3.000
86,4,3.162,1017,311,108.435,2.000
87,58,11.662,347,315,120.964,8.000
88,1,1.414,393,317,135.000,1.000
89,5,3.606,1023,323,33.690,2.000
90,109,14.318,1195,329,12.095,10.000
91,1,1.414,606,324,135.000,1.000
92,12,5.831,627,328,149.036,3.883
93,3,2.828,839,340,45.000,2.000
94,12,5.385,1089,352,158.199,3.000
95,1033,40.608,333,372,170.074,33.000
96,2,2.236,1094,358,153.435,1.000
97,29,7.280,1143,363,164.055,5.000
98,45,8.944,182,377,26.565,7.000
99,9,4.472,918,377,26.565,3.000
100,1,1.414,637,375,135.000,1.000
101,75,13.892,1197,385,149.744,8.162
102,52,9.487,935,387,161.565,8.000
103,4,2.828,1109,386,135.000,2.000
104,67,11.402,213,390,164.745,8.000
105,11,5.000,620,389,143.130,3.000
106,4,2.828,1108,391,135.000,2.000
107,39,8.602,142,393,144.462,6.708
108,735,37.363,597,414,15.524,28.873
109,159,18.111,1216,404,6.340,13.000
110,41,9.487,522,398,161.565,6.000
111,4,2.828,1130,397,135.000,2.000
112,21,6.708,1033,401,153.435,5.000
113,74,11.180,901,404,153.435,9.000
114,785,36.878,720,411,167.471,28.000
115,46,9.487,1080,414,18.435,7.000
116,198,20.396,1097,417,168.690,14.000
117,13,5.385,1029,414,158.199,3.000
118,398,27.203,353,420,162.897,20.871
119,2,2.236,1036,418,153.435,1.000
120,5,3.606,225,419,146.310,2.000
121,7,3.606,1032,425,123.690,3.000
122,6,4.243,1132,425,135.000,2.828
123,370,25.318,440,443,170.910,19.731
124,29,7.280,1073,445,15.945,6.000
125,3,2.828,639,449,135.000,2.000
126,5,3.606,787,449,146.310,2.000
127,42,9.434,159,459,57.995,7.000
128,9,4.243,719,451,135.000,3.000
129,1,1.414,167,452,135.000,1.000
130,8,5.000,1202,458,36.870,2.828
131,23,6.708,289,458,153.435,5.000
132,46,8.944,754,456,116.565,7.000
133,62,12.530,351,461,118.610,7.889
134,2,2.236,341,467,153.435,1.000
135,1,1.414,794,467,135.000,1.000
136,17,7.071,1227,472,45.000,4.025
137,312,23.087,447,475,162.350,18.000
138,30,7.616,359,484,66.801,6.000
139,32,7.616,754,481,156.801,6.000
140,569,31.575,909,494,10.954,23.000
141,450,25.554,824,486,149.421,23.000
142,16,5.831,765,487,120.964,4.000
143,55,10.440,521,496,163.301,7.906
144,4,2.828,574,496,135.000,2.000
145,15,5.385,1040,498,158.199,4.000
146,380,26.173,741,516,173.418,19.645
147,20,7.280,238,511,164.055,4.000
148,60,10.770,294,520,68.199,8.000
149,528,27.514,1124,522,160.907,25.000
150,1,1.414,675,515,135.000,1.000
151,4,2.828,1046,515,135.000,2.000
152,14,5.831,219,528,30.964,3.536
153,9,4.472,530,527,153.435,3.000
154,11,5.000,141,533,36.870,3.000
155,77,11.402,611,536,164.745,9.000
156,17,5.831,473,550,149.036,4.000
157,4,2.828,388,550,135.000,2.000
158,6,3.606,400,554,33.690,2.828
159,1,1.414,184,561,135.000,1.000
160,2,2.236,276,564,153.435,1.000
161,1,1.414,377,564,135.000,1.000
162,20,6.708,824,568,153.435,4.000
163,119,17.205,219,575,144.462,10.286
164,34,9.220,1127,582,139.399,6.000
165,43,10.296,510,585,150.945,6.708
166,8,4.243,880,593,45.000,3.000
167,185,18.028,813,603,19.440,14.444
168,1,1.414,91,597,135.000,1.000
169,1,1.414,552,597,135.000,1.000
170,31,7.616,657,598,156.801,5.000
171,422,29.411,730,625,72.181,21.019
172,40,8.602,895,605,144.462,6.000
173,137,15.264,361,621,31.608,13.000
174,10,4.472,239,611,153.435,3.000
175,5,3.606,1270,620,33.690,2.683
176,7,4.472,880,622,153.435,2.000
177,29,7.616,1007,626,156.801,5.692
178,6,3.606,577,642,146.310,2.000
179,66,10.817,1013,645,146.310,9.000
180,42,8.544,585,654,69.444,7.000
181,31,8.944,286,655,26.565,5.367
182,7,3.606,1122,651,123.690,3.000
183,14,5.657,837,664,45.000,4.000
184,9,4.243,330,662,135.000,3.000
185,7,4.243,593,667,45.000,2.828
186,42,9.487,133,668,161.565,7.000
187,1,1.414,1248,669,135.000,1.000
188,9,5.000,910,673,143.130,3.000
189,1,1.414,296,677,135.000,1.000
190,1171,44.721,1170,704,10.305,38.000
191,13,5.385,808,681,158.199,3.000
192,18,6.708,477,685,153.435,4.472
193,19,7.211,400,685,146.310,4.000
194,4,2.828,471,691,135.000,2.000
195,21,7.280,676,695,15.945,4.000
196,4,2.828,846,702,135.000,2.000
197,36,8.544,462,706,159.444,6.000
198,226,21.932,663,717,24.228,14.000
199,4,3.162,725,712,161.565,2.000
200,17,5.657,491,713,135.000,4.950
201,189,18.385,327,716,157.620,14.000
202,2,2.236,463,715,153.435,1.000
203,1,1.414,832,715,135.000,1.000
204,8,4.472,472,718,153.435,2.000
205,12,5.000,1119,725,36.870,4.000
206,4,2.828,479,722,135.000,2.000
207,9,4.472,499,737,116.565,3.000
208,101,13.416,873,741,153.435,11.000
209,3,2.828,454,746,135.000,2.000
210,1,1.414,497,747,135.000,1.000
211,5,3.606,744,748,123.690,2.000
212,22,6.403,768,764,38.660,5.000
213,47,9.487,37,764,161.565,6.000
214,1,1.414,339,763,135.000,1.000
215,1,1.414,989,766,135.000,1.000
216,1,1.414,610,773,135.000,1.000
217,1,1.414,984,773,135.000,1.000
218,1,1.414,978,774,135.000,1.000
219,5,3.606,606,777,146.310,2.000
220,77,12.649,831,781,161.565,8.000
221,26,7.280,18,790,164.055,5.000
222,2,2.236,43,788,116.565,1.000
223,13,5.385,683,790,158.199,4.000
224,12,5.000,698,789,126.870,4.000
225,10,5.657,982,794,45.000,3.328
226,1,1.414,14,791,135.000,1.000
227,27,7.810,690,796,129.806,5.687
228,63,10.296,639,805,29.055,8.944
229,18,6.403,681,808,38.660,4.000
230,6,4.123,1230,805,104.036,2.000
231,21,8.485,704,810,135.000,4.243
232,18,6.325,26,816,108.435,4.472
233,75,11.662,1239,818,149.036,9.000
234,11,5.385,1262,820,158.199,3.000
235,17,5.831,354,825,149.036,4.000
236,23,6.403,119,843,128.660,5.000
237,24,7.616,751,849,23.199,4.000
238,12,5.000,123,852,143.130,4.000
239,10,5.000,1041,853,126.870,3.000
240,8,5.000,749,858,36.870,2.846
241,122,15.000,1023,866,36.870,11.767
242,12,5.385,1015,858,111.801,3.000
243,5,3.606,1139,858,146.310,2.000
244,5,3.606,1040,863,33.690,2.000
245,190,19.313,883,870,158.749,15.556
246,5,3.162,742,865,108.435,2.828
247,1,1.414,1018,865,135.000,1.000
248,1,1.414,548,868,135.000,1.000
249,1,1.414,620,873,135.000,1.000
250,1,1.414,949,877,135.000,1.000
251,4,2.828,1018,877,135.000,2.000
252,20,6.708,1031,883,63.435,4.743
253,5,3.606,551,881,56.310,2.000
254,5,3.606,903,880,33.690,2.000
255,3,3.162,741,883,161.565,1.000
256,15,5.831,913,911,30.964,4.000
257,1,1.414,850,910,135.000,1.000
258,75,12.207,942,925,34.992,9.000
259,82,13.416,815,930,153.435,8.000
260,1,1.414,806,931,135.000,1.000
261,37,8.544,1010,932,159.444,6.000
262,58,10.817,478,932,123.690,8.400
263,20,6.325,1023,937,18.435,4.950
264,1,1.414,463,936,135.000,1.000
265,104,13.000,703,939,157.380,11.000
266,4,2.828,439,938,135.000,2.000
267,8,5.000,349,949,126.870,2.828
