 ,Area,Angle,MinThr,MaxThr,Length
1,1.384,2.526,0,255,6.767
2,0.553,0.000,0,255,2.485
3,0.712,0.000,0,255,3.380
4,1.739,35.929,0,255,8.471
5,0.870,9.689,0,255,4.135
6,1.739,-8.596,0,255,8.647
7,0.988,-1.193,0,255,4.773
8,0.514,-14.621,0,255,2.363
9,0.474,-15.255,0,255,2.267
10,1.028,-49.899,0,255,4.939
11,1.660,-38.550,0,255,8.136
12,0.791,1.548,0,255,3.680
13,0.474,5.194,0,255,2.196
14,0.514,11.768,0,255,2.437
15,0.395,10.008,0,255,1.716
16,2.056,7.263,0,255,10.222
18,0.870,-8.326,0,255,4.119
19,1.581,3.668,0,255,7.770
20,0.593,4.236,0,255,2.692
21,1.502,5.404,0,255,7.390
22,1.067,14.300,0,255,5.232
23,1.146,-26.114,0,255,5.647
24,0.751,-48.366,0,255,3.591
25,0.751,-57.171,0,255,3.668
26,1.463,174.447,0,255,7.192
27,1.779,176.100,0,255,8.769
28,2.767,158.814,0,255,13.754
29,2.372,-50.882,0,255,11.661
30,1.028,-37.569,0,255,4.892
31,0.672,-25.769,0,255,3.201
32,0.672,-42.510,0,255,3.237
33,0.988,-51.911,0,255,4.674
34,0.474,-41.424,0,255,2.254
35,0.633,-29.055,0,255,3.071
36,1.502,-37.333,0,255,7.377
37,0.751,-37.185,0,255,3.619
38,0.593,-52.306,0,255,2.764
39,0.791,-40.764,0,255,3.806
40,0.474,-63.435,0,255,2.223
41,0.633,-61.699,0,255,2.936
42,1.463,-56.976,0,255,7.114
43,1.700,-45.971,0,255,8.296
44,0.356,-29.745,0,255,1.603
45,0.751,-42.709,0,255,3.518
46,0.395,-45.000,0,255,1.828
47,0.672,-57.804,0,255,3.172
48,0.672,-56.310,0,255,3.226
49,0.712,-46.219,0,255,3.305
50,1.305,-55.081,0,255,6.426
51,0.593,-56.310,0,255,2.868
52,1.344,-34.418,0,255,6.508
53,1.265,-46.975,0,255,6.120
54,1.146,-54.345,0,255,5.628
55,0.712,-5.042,0,255,3.393
56,0.316,-47.726,0,255,1.478
57,0.474,-39.472,0,255,2.189
58,0.751,-63.435,0,255,3.557
59,1.502,-59.300,0,255,7.400
60,1.344,-46.660,0,255,6.470
61,1.186,-54.689,0,255,5.848
62,1.344,-49.525,0,255,6.535
63,1.107,-60.604,0,255,5.401
64,0.712,-40.236,0,255,3.386
65,0.672,-44.145,0,255,3.140
66,0.395,-38.991,0,255,1.791
67,0.316,-45.000,0,255,1.406
68,0.395,-35.538,0,255,1.710
69,0.553,-53.130,0,255,2.651
70,0.474,-18.970,0,255,2.243
71,2.333,-47.793,0,255,11.543
72,0.672,-55.305,0,255,3.144
73,0.553,-48.013,0,255,2.675
74,0.356,-45.000,0,255,1.687
75,0.712,-76.759,0,255,3.472
76,0.633,-74.055,0,255,2.895
77,0.198,-63.435,0,255,0.889
78,0.870,131.186,0,255,4.227
79,1.186,-53.531,0,255,5.687
80,0.474,-52.125,0,255,2.267
81,0.949,-72.350,0,255,4.590
82,1.226,-76.430,0,255,5.932
83,1.107,-58.671,0,255,5.354
84,0.593,-81.870,0,255,2.812
85,0.909,-87.397,0,255,4.379
86,0.395,-49.399,0,255,1.833
87,0.356,-97.125,0,255,1.603
88,0.988,-70.821,0,255,4.842
89,1.739,-50.711,0,255,8.478
90,0.356,-75.964,0,255,1.640
91,0.593,-65.225,0,255,2.847
92,0.870,-27.759,0,255,4.269
93,2.333,-49.185,0,255,11.560
94,1.305,-41.186,0,255,6.341
95,0.791,-55.491,0,255,3.861
96,1.423,-146.768,0,255,6.893
97,1.107,-90.000,0,255,5.368
98,1.028,-45.000,0,255,5.061
99,0.870,-22.834,0,255,4.099
100,1.305,-33.690,0,255,6.452
101,1.226,-36.870,0,255,5.965
102,0.751,-6.340,0,255,3.601
103,0.949,-37.875,0,255,4.534
104,0.988,-60.255,0,255,4.809
105,0.909,-59.931,0,255,4.365
106,0.435,-90.000,0,255,1.988
107,1.265,-90.000,0,255,6.164
108,0.751,-42.709,0,255,3.518
109,1.186,-56.310,0,255,5.735
110,0.988,-29.745,0,255,4.809
111,1.502,-66.194,0,255,7.389
112,0.751,-51.843,0,255,3.540
113,1.107,-45.000,0,255,5.343
114,1.186,-12.095,0,255,5.694
115,0.830,-20.225,0,255,4.026
116,1.028,-40.101,0,255,4.939
117,1.028,-25.560,0,255,5.069
118,0.712,-25.017,0,255,3.291
119,0.949,-12.804,0,255,4.486
120,1.226,-39.560,0,255,5.932
121,1.028,-45.000,0,255,5.061
122,1.265,-97.352,0,255,6.215
123,1.502,-141.582,0,255,7.359
124,1.107,-145.713,0,255,5.294
125,1.463,-57.653,0,255,7.061
126,1.028,-73.740,0,255,4.971
127,0.672,-34.695,0,255,3.144
128,1.028,-49.899,0,255,4.939
129,1.186,-60.751,0,255,5.697
130,2.253,-87.955,0,255,11.142
131,1.107,-53.973,0,255,5.409
132,1.146,-34.824,0,255,5.571
133,1.660,-32.152,0,255,8.220
134,2.174,-40.486,0,255,10.718
135,2.333,-59.886,0,255,11.493
136,0.553,-48.013,0,255,2.675
137,0.514,-24.444,0,255,2.402
138,1.384,-59.621,0,255,6.684
139,1.898,-64.537,0,255,9.249
140,1.581,-60.803,0,255,7.744
141,1.858,-58.392,0,255,9.105
142,1.581,-62.784,0,255,7.825
143,1.819,-44.091,0,255,8.859
144,1.146,-98.130,0,255,5.624
145,0.830,-120.466,0,255,3.922
146,0.751,-135.000,0,255,3.655
147,0.791,-143.746,0,255,3.698
148,1.028,-101.768,0,255,4.874
149,1.028,-40.101,0,255,4.939
150,1.028,-75.964,0,255,4.919
151,0.633,-90.000,0,255,2.982
152,0.672,-68.199,0,255,3.212
153,1.384,-83.290,0,255,6.807
154,0.791,-115.201,0,255,3.736
155,0.672,-86.424,0,255,3.188
156,0.435,-73.301,0,255,2.076
157,1.700,-58.570,0,255,8.389
158,1.146,-47.862,0,255,5.631
159,1.146,-57.995,0,255,5.627
160,1.384,-55.840,0,255,6.728
161,1.067,-83.418,0,255,5.204
